name,frequency
Van,363
Raul,361
Elisabeth,360
Ferdinand,360
Elouise,353
Elvera,353
Omer,353
Justine,352
Rosalind,352
Hershel,349
Saul,349
Marianne,347
Manuela,346
Elise,345
Buster,345
Marlin,343
Freida,341
Vida,339
Elliott,339
Dovie,337
Ulysses,336
Elena,335
Angie,334
Booker,334
Mayme,332
Petra,332
Burl,332
Mervin,332
Casimir,332
Betsy,328
Judy,327
Cletus,326
Jeff,325
Bertram,324
Oleta,323
Dorotha,323
Wilhelmina,323
Garnet,323
Gabriel,323
Milo,323
Darwin,322
Vernice,321
Lorenzo,321
Vada,320
Marilynn,320
Filomena,320
Edwina,318
Rosemarie,318
Gale,318
Abe,318
Gertie,317
Verla,317
Valeria,313
Myrtis,310
Catharine,310
Rolland,310
Adell,309
Denver,309
Leta,308
Hobert,307
Delmer,306
Linwood,306
Hortense,305
Faith,305
Lamar,305
Everette,305
Una,304
Ardis,304
Isadore,304
Margret,303
Lavonne,303
Roberto,303
Gregory,302
Aloysius,302
Vesta,301
Royal,301
Claudine,298
Francisca,298
Columbus,298
Spencer,298
Hiram,297
Belle,296
Rene,296
Scott,296
Bella,295
Wilton,295
Augustine,294
Lauretta,293
Freeman,292
Noel,292
Olin,288
Quentin,288
Artie,286
Mathew,286
Alfredo,286
Gilda,285
Houston,285
Julie,284
Maryjane,284
Nolan,284
Lyman,284
Arlie,283
Ferne,283
Minerva,283
Alfreda,282
Lucia,282
Lenard,282
Cassie,280
Lucinda,280
Margarette,280
Lura,280
Leone,280
Olen,279
Claudie,278
Rowena,278
Rae,278
Santos,278
Alpha,277
Linnie,276
Foster,275
Emile,275
Floy,274
Veda,273
Eric,273
Frederic,273
Lettie,272
Delphine,272
Riley,270
Royce,270
Luke,270
Magnolia,269
Fanny,268
Bud,268
Agatha,267
Rhea,267
Juana,265
Joann,265
Clay,264
Vance,264
Ambrose,264
Hoyt,263
Hal,263
Otha,262
Camille,262
Dewitt,262
Miguel,262
Valerie,261
Alden,260
Elroy,260
Augustus,257
Jefferson,256
Dudley,256
Hugo,255
Pablo,255
Mazie,253
Hettie,253
Terry,253
Albina,253
Mose,253
Major,253
Ezra,253
Delma,252
Ima,252
Belva,252
Germaine,252
Ava,251
Orlando,251
Rafael,250
Myrtice,249
Ouida,249
Domingo,249
Magdalene,248
Emogene,247
Lue,246
Idella,246
Katheryn,246
Josefina,245
Ivy,244
Millicent,244
Jenny,243
Zola,242
Phoebe,242
Estell,241
Fletcher,241
Meyer,241
Theodora,240
Rubie,239
Alberto,239
Era,237
Morgan,237
Earlene,236
Pearline,236
Hellen,236
Therese,236
Verne,236
Hardy,235
Randall,234
Florene,233
Juliette,232
Domenic,232
Blaine,232
Mittie,231
Novella,231
Carlo,231
Harding,230
Rosalee,229
Louisa,229
Mathilda,229
Orpha,228
Georgette,227
Anderson,227
Palmer,227
Theo,226
Joanna,226
Noble,226
Israel,226
Rosario,225
Yetta,225
Isiah,225
Newton,224
Guido,224
Vincenza,223
Velda,222
Emilie,222
Elias,222
Tressie,221
Ocie,221
Alicia,221
Lacy,221
Darrel,221
Blanch,220
Dana,219
Yvette,219
Davis,219
Lona,218
Jackie,218
Roma,218
Isidore,218
Vergie,217
Garnett,217
Dalton,216
Cruz,215
Treva,213
Janette,213
Evalyn,213
Ursula,213
Shelby,213
Fernando,213
Benedict,213
Arleen,212
Twila,212
Gretchen,212
Aldo,212
Ona,211
Winnifred,211
Ardith,211
