name,frequency
Evan,512
Mose,512
Haywood,511
Rubin,510
Dock,507
Gregorio,507
Eldora,506
Ocie,506
Ferne,505
Arther,504
Berta,502
Arden,502
Winford,502
Guillermo,501
Roma,498
Isadore,498
Maud,497
Bella,497
Lovie,495
Albin,494
Marianna,493
Annamae,491
Lincoln,491
Jeane,488
Guido,487
Granville,486
Benito,486
Kitty,484
Orpha,484
Emilie,483
Vicente,482
Celeste,481
Vergie,480
Georgianna,480
Justin,479
Valentine,479
Harmon,478
Hilton,476
Eleanora,475
Huey,475
Elwin,474
Edd,473
Magdalena,469
Coleman,469
Jeremiah,469
Quentin,467
Eloisa,466
Domenick,466
Amalia,464
Vilma,462
Lemuel,462
Mozell,461
Lucius,461
Rubie,460
Ottis,459
Catalina,458
Noreen,458
Joshua,456
Alphonso,455
Santo,455
Felton,454
Clementine,453
Belle,452
Vaughn,451
Sydney,449
Emmitt,448
Eduardo,448
Meyer,448
Rogers,447
Carson,446
Christene,441
Tressie,440
Daryl,439
Nan,437
Benedict,436
Refugio,435
Rosina,432
Elden,431
Marceline,428
Dee,428
Christian,426
Margarett,425
Theron,425
Evelyne,424
Mickey,423
Mason,420
Gary,419
Antone,418
Greta,417
Napoleon,417
Alejandro,417
Israel,417
Kathrine,416
Eldridge,416
Joesph,415
Vernie,414
Raleigh,414
Tomasa,413
Hermon,411
Galen,411
Boyce,410
Gustave,407
Luz,406
Kattie,405
Rollin,405
Pattie,404
Reed,402
Ernestina,401
Roselyn,401
Felicia,401
Elease,399
Leonor,399
Winnifred,398
Alda,397
Bryan,397
Florian,397
Rayford,396
Camilla,393
Meredith,391
Darleen,390
Adolfo,390
Hobart,390
Palmer,389
Jerald,389
Mina,388
Oren,388
Hortencia,387
Waldo,387
Alvis,386
Anastasia,385
Romeo,385
Walker,383
Jeannine,382
Josefa,381
Dominga,380
Freeda,377
Deborah,377
Adelina,375
Zora,374
Americo,373
Cathryn,369
Evalyn,369
Margarito,369
Gearldine,368
King,365
Mandy,364
Zula,364
Lavina,364
Sherwood,364
Palma,363
Mathilda,363
Dante,363
Dorcas,362
Early,362
Elvis,362
Evie,361
Milan,361
Ellie,360
Laverna,359
Haskell,359
Avery,357
Carmelo,357
Yetta,356
Elida,356
Aron,356
Delfina,354
Elayne,354
Reynaldo,354
Rosia,352
Delphia,352
Cordelia,351
Daphne,351
Annabell,351
Mafalda,351
Ossie,350
Idell,350
Annetta,350
Marcelle,349
Graham,349
Constantine,348
Walton,347
Francine,346
Santa,346
Merlyn,345
Bennett,345
Fidel,344
Lorenza,343
Alvie,343
Bulah,342
Clarance,342
Aletha,341
Taylor,341
Almeda,340
Luverne,340
Herminia,340
Alford,340
Jennings,340
Ardell,339
Abbie,338
Hiroshi,338
Sudie,337
Kent,336
Ramiro,335
Maybelle,333
Cleta,333
Asa,333
Abel,333
Prince,331
Lulu,331
Marlyn,331
Maryellen,330
Warner,330
Ethelyn,329
Natividad,329
Dillard,327
Beatriz,326
Martina,326
Caryl,325
Norine,324
Elzie,324
Porter,323
Nicolas,323
Crystal,322
Amparo,322
Darline,322
Waneta,322
Bobbye,321
Luisa,321
Corene,320
Leatha,320
Elliot,319
Luvenia,318
Judson,318
Hardy,317
Neoma,316
Stanford,316
Loyce,315
Estela,315
Maxwell,314
Berneice,313
Audra,312
Murphy,311
Willene,310
Rupert,310
Lindy,309
Yoshiko,308
Annabel,308
Madie,307
Sharon,307
Georgina,305
Regis,305
Hayward,304
Enoch,301
Agustin,300
Bethel,299
Jason,299
Bryant,298
Blossom,297
Carleton,297
Gaetano,297
Christeen,296
Concha,295
Ruthe,293
Cyrus,293
Octavia,292
Louvenia,292
Hedwig,292
Rodger,292
Jettie,291
Jonathan,291
Pinkie,290
Elna,290
Romaine,290
Isidore,289
Lavada,288
Golda,288
Silvio,288
Fernand,288
Loy,287
Adella,286
Gino,286
Dorsey,285
Garfield,285
Dwayne,284
Rutha,283
Eldred,283
Merritt,282
Velva,281
Werner,281
Nova,280
Willia,280
Rosaline,280
Lucious,280
Kyle,280
Emmie,279
Jordan,279
Sofia,277
Eve,277
Bernie,277
Craig,277
Natalia,276
Gerry,276
Alvera,276
Ardella,275
Gregoria,275
Rosevelt,275
Waymon,275
Raphael,275
Jamie,273
Carlene,273
Vita,273
Buck,273
Winfield,273
Carter,272
Aurelio,272
Ernie,271
Esta,270
Erlinda,270
Aida,270
Elisha,270
Shelton,269
Hazle,268
Obie,268
Lucian,267
Charmaine,266
Felipa,265
Lennie,264
Lina,264
Cathrine,263
Dimple,263
Elinore,263
Kiyoshi,263
Savannah,262
Evangelina,262
Elmore,262
Rosanna,261
Franklyn,261
Donn,261
Bertrand,261
Hortensia,260
Ana,260
Melvina,259
Earlie,258
Evert,258
Ignatius,258
Eris,257
Macie,257
Marge,257
Denzil,257
Hoover,256
Lyla,254
Virgle,254
Nunzio,254
Otho,253
Joaquin,253
Leopoldo,251
Delois,250
Ladonna,250
Leeroy,250
Yoshio,250
Enriqueta,249
General,249
Blair,249
Raquel,247
Estel,247
Soledad,246
Casimer,246
Libby,245
Nathalie,245
Bradley,245
Rosamond,244
Mammie,243
Lonzo,243
Altha,242
Verlin,242
Nelle,241
Odie,241
Ike,241
Norene,240
Elmira,239
Domenica,239
Florida,238
Foy,237
Sandy,237
Jesusa,237
Bradford,237
Donovan,237
Garth,236
Bridget,235
Melton,235
Dewayne,235
Willodean,234
Myrtie,234
Leonore,234
Laurette,234
Arvil,234
Emmer,233
Matilde,233
Bernita,233
Masao,233
Lyda,232
Reyes,231
Bernardine,231
Arvilla,231
Sibyl,230
Herlinda,230
Alverta,229
Howell,229
Finis,229
Hideo,229
Federico,229
Barry,229
Eloy,229
Inell,228
Clovis,228
Elwyn,228
Adelle,227
Lilia,227
Marcos,227
Eulalia,226
Dottie,226
Brady,226
Alois,226
Marlene,225
Vester,225
Mariano,225
Urban,225
Gay,224
Ceola,223
Murry,222
Gonzalo,222
Hans,222
Vina,221
Afton,221
Hosea,221
Oran,221
Genoveva,220
Furman,220
Alease,219
Seth,219
Malinda,218
Benita,218
Sabina,218
Duncan,218
Arvid,218
Jovita,217
Lucretia,217
Susanne,217
Glendon,216
Carmelita,215
Mahlon,215
Antonetta,214
Artis,214
Ford,214
Rosendo,214
Clem,213
Arlo,213
Ludie,212
Lilla,212
Queenie,212
Esteban,212
Reynold,212
Toshio,211
Angus,211
Birtha,210
Coletta,210
Oralia,210
Florencio,210
Rafaela,209
Toshiko,209
Felicitas,209
Rosalia,209
Roseann,209
Judge,209
Loyal,209
Benton,209
Kevin,209
Audie,208
Wynona,208
Leonardo,208
Norwood,208
Lawanda,207
Leander,207
Fumiko,206
Jonas,206
Matt,206
Andre,206
Ozell,205
Verona,205
Auther,205
Christ,205
Lidia,204
Kiyoko,204
Dexter,204
Henderson,204
Carey,204
Enrico,204
Versie,203
Euna,203
Madaline,202
Eliseo,202
Nila,201
Berry,201
Grayce,200
Susanna,200
Georgene,200
Clemmie,199
Cosmo,199
Hildred,198
Lida,198
Omar,198
Ines,197
Meta,197
Santina,197
Bettyjane,197
Jorge,197
Akira,197
Ezell,196
Veola,195
Juliet,195
Vivien,195
Ewell,195
Mortimer,195
Donato,195
Beaulah,194
Enedina,194
Reid,194
Kee,193
Myles,193
Verl,193
Vonda,192
Monte,192
Zane,192
Stanton,192
Rachael,191
Hillard,191
Cloyd,191
Hilario,191
Pamela,190
Olevia,189
Kennith,189
Ismael,188
Sumner,188
Lurline,187
Ninfa,186
Carlyle,186
Oneta,185
Rudolf,184
Vallie,183
Trula,183
Casper,183
Minoru,183
Jeanie,182
Lawson,181
Kirby,181
Elwanda,180
Michelina,180
Verdie,179
Venita,179
Marcelino,179
Raymundo,179
Lera,178
Orrin,178
Genaro,178
Burnice,177
Elois,177
Ellwood,177
Nevin,177
Alline,176
Lavinia,176
Kazuo,176
Isidro,176
Elizebeth,174
Luetta,174
Logan,174
Takashi,174
Adan,174
Eartha,173
Elvie,173
Marina,173
Masako,173
Elenore,173
Annamarie,173
Elenora,173
Rowland,173
Theadore,173
Micaela,172
Juliana,172
Williams,172
Nella,171
Rozella,171
Toby,171
Valentino,171
Peggie,170
Aiko,170
Issac,170
Adolphus,170
Faustino,170
Audry,169
Belia,169
Prudence,169
Glynn,169
Porfirio,169
Heyward,169
Gustav,169
Mitsuo,168
Darold,168
Garrett,168
Shigeru,167
Chauncey,167
Dayton,167
Ethelene,166
Ozella,166
Twyla,166
Zona,166
Isamu,166
Sigmund,166
Rosaria,165
Emmit,164
Lucio,164
Earlean,163
Lindsey,163
Eusebio,163
Refugia,162
Rogelio,162
Tennie,161
Michiko,161
Miller,161
Naoma,160
Dena,160
Lolita,160
Denise,160
Clint,160
Burt,160
Sylvan,160
Vivienne,159
Marcelina,159
Jones,159
Leamon,158
Rueben,158
Lawerence,158
Ludwig,158
Okey,158
Toni,157
Madalyn,157
Gaston,157
Lynwood,157
Donal,157
Florentino,157
Oswald,157
Sumiko,156
Cathleen,156
Hunter,156
Leopold,156
Eda,155
Penelope,155
Assunta,155
Johny,155
Orin,155
Worth,155
Viva,154
Bettylou,154
Milburn,154
Merl,154
Ova,153
Enola,153
Junious,153
Katy,152
Harrell,152
Arnulfo,152
Erline,151
Shizuko,151
Ardelle,151
Lavera,151
Olan,151
Gustavo,151
Luciano,151
Brian,151
Terrence,151
Burdette,151
Chiyoko,150
Mitsuko,150
Sonya,150
Letitia,149
Farris,149
Bryce,149
Author,149
Brooks,149
Arvel,149
Lon,149
Lambert,149
Johnsie,148
Jodie,148
Durward,148
Teodoro,148
Dwain,148
Gennie,147
Velia,147
Shizue,147
Simone,147
Oneal,147
Coolidge,147
Wylie,147
Hayden,147
Armida,146
Miyoko,146
Patti,146
Nanette,146
Clarabelle,146
Sal,146
Denis,146
Gaynell,145
Exie,145
Irine,145
Olympia,145
Quinton,145
Dempsey,145
Bernardo,145
Takeshi,145
Amado,145
Macario,145
Nedra,144
Webster,144
Crawford,144
Elza,144
Linus,144
Emelda,143
Wardell,143
Delton,143
Gasper,143
Voncile,142
Candelaria,142
Imelda,142
Berenice,142
Leanna,141
Haruko,141
Alba,141
Edison,141
Teruko,140
Almeta,140
Abner,140
Oral,140
Felice,139
Stasia,139
