name,frequency
Amalia,112
Afton,112
Verne,112
Haskell,112
Otho,112
Domenick,112
Theodora,111
Alverta,111
Romaine,111
Palmer,111
Moe,111
Odie,110
Ethelyn,110
Sheldon,110
Nan,109
Felton,109
Marilyn,107
Rosalia,107
Camilla,106
Sabina,106
Florene,104
Katheryn,104
Faith,104
Santa,104
Vina,104
Celestine,104
Dana,104
Albin,104
Rosemarie,103
Georgianna,103
Harmon,103
Arvilla,102
Treva,102
Aldo,102
Luz,101
Melvina,101
Alphonso,101
Carson,101
Matt,101
Stasia,100
Davis,100
Raphael,100
Lera,99
Verla,99
Twila,99
Enoch,99
Fernando,99
Randall,99
Alicia,98
Libby,98
Cleta,98
Elwin,98
Ivory,97
Susanna,97
Winfield,97
Maybell,96
Darlene,96
Abram,96
Corrie,95
Sonia,95
Trinidad,95
Sandy,95
Obie,95
Wilber,95
Enrique,95
Justin,95
Florian,95
Roma,94
Everette,94
Signe,93
Magdalena,93
Rogers,93
Santo,93
Bethel,92
Greta,92
Phil,92
Hardy,92
Gale,92
Gregoria,91
Ignacio,91
Abner,91
Carmelo,91
Vincenzo,91
Elna,90
Bette,90
Goldia,90
Darwin,90
Lilla,89
Verdie,89
Olevia,89
Terry,89
Luisa,89
Hans,89
Merton,89
Vicente,89
Mammie,88
Elmore,88
Graham,88
Shizuko,87
Florrie,87
Judge,87
Joesph,87
Bell,86
Nita,86
Minna,86
Domenica,86
Ernesto,86
Arturo,86
Judson,86
Gaylord,86
Evan,86
Exie,85
Altha,85
Martina,85
Vivien,85
Berenice,85
Lorenza,85
Cyrus,85
Emmer,84
Herminia,84
Masako,84
Grayce,84
Kathryne,83
Masao,83
Gilberto,83
Stephania,82
Hilma,82
Lemuel,82
Vaughn,82
Benito,82
Ozella,81
Berneice,81
Dalton,81
Avery,81
Adrienne,80
Lilian,80
Vlasta,80
Foy,80
Rachael,80
Ottis,80
Lenard,80
Dante,80
Jonnie,79
Esperanza,79
Lavon,79
Lavada,78
Nova,78
Sibyl,78
Eda,78
Assunta,78
Mckinley,78
Eino,78
Elease,77
Eldora,77
Leopold,77
Toivo,77
Adella,76
Ova,76
Letitia,76
Ardis,76
Mason,76
Rodolfo,76
Domingo,76
Oran,76
Trudie,75
Aida,75
Annetta,75
Carey,75
Boyce,75
Hobert,75
Nat,75
Lurline,74
Deloris,74
Palma,74
Jesusa,74
Felipa,74
Furman,74
Norine,73
Vita,73
General,73
Buddy,73
Eldridge,73
Reed,73
Larue,72
Refugia,72
Murphy,72
Liza,71
Inga,71
Dominga,71
Jonas,71
Julio,71
Glennie,70
Louvenia,70
Delfina,70
Judy,70
Eulalia,70
Mossie,70
Dona,70
Margaretta,70
Kathrine,70
Astrid,69
Violette,69
Enola,69
Benita,69
Lindsey,69
Arvid,69
Worth,69
Nicolas,69
Euna,68
Antonina,68
Walton,68
Harland,68
Elroy,68
Rossie,67
Pearle,67
Elenora,67
Johnsie,67
Marianna,67
Rafaela,67
Refugio,67
Silvio,67
Francesco,67
Gennaro,67
Jackie,66
Dorcas,66
Reta,66
Sadye,66
Beatriz,66
Talmadge,66
Galen,66
Birtha,65
Hermon,65
Granville,65
Clovis,65
Margarito,65
Adelle,64
Freeda,64
Green,64
Clem,64
Blaine,64
Jule,63
Deborah,63
Lincoln,63
Oswald,63
Myer,63
Nunzio,63
Ellwood,63
Elvie,62
Yoshiko,62
Nedra,62
Elisha,62
Estel,62
Seth,62
Lonie,61
Hellen,61
Doretha,61
Joanne,61
Hermina,61
Cordie,61
Adaline,61
Alease,61
Cleve,61
Bryant,61
Lucian,61
Ricardo,61
Reino,61
Dorsey,60
Neoma,60
Juliet,60
Madonna,60
Coletta,60
Antonetta,60
Constantine,60
Eduardo,60
Aletha,59
Haruko,59
Jodie,59
Elinore,59
Alvie,59
Carter,59
Durward,59
Oral,59
Ludwig,59
Attilio,59
Blair,59
Viva,58
Monnie,58
Michelina,58
Libbie,58
Rosalyn,58
Lida,58
Trula,58
Simona,58
Rupert,58
Urban,58
Ceola,57
Flonnie,57
Zona,57
Magdalen,57
Golden,57
Genoveva,57
Brady,57
Rudy,57
Janette,56
Laurette,56
Angel,56
Aurore,56
Santina,56
Elden,56
Arden,56
Reinhold,56
Ford,56
Hector,56
Gerhard,56
Leander,56
Jamie,55
Gwen,55
Leonore,55
Mafalda,55
Yoshio,55
Mariano,55
Catalina,54
Vivienne,54
Felice,54
Catarina,54
Huey,54
Hunter,54
Elvis,54
Mariah,53
Eulah,53
Shizue,53
Linnea,53
Carlota,53
Sylvan,53
Blease,53
Tempie,52
Cathrine,52
Vester,52
Hildred,52
Hazle,52
Lossie,52
Roderick,52
Ennis,52
Merritt,52
Abel,52
Leopoldo,52
Colie,52
Icie,51
Ozie,51
Betsy,51
Earlie,51
Rosaria,51
Madaline,51
Josh,51
Miller,51
Hilton,51
Olaf,51
Beaulah,50
Kathlyn,50
Lea,50
Imelda,50
Melville,50
Hoke,50
Jonathan,50
Adolfo,50
Fidel,50
Marcos,50
Gayle,49
Adolphus,49
Takeo,49
Crawford,49
Franklyn,49
Enrico,49
Finis,49
Edison,49
Rosendo,49
Lucretia,48
Alline,48
Thora,48
Syble,48
Henderson,48
Evans,48
Logan,48
Antoine,48
Luigi,48
