name,frequency
Katharine,516
Syble,515
Lucia,515
Gilberto,515
Madelyn,511
Lenard,510
Iola,508
Alberto,508
Pearline,506
Dana,506
Twila,506
Rosalee,504
Camille,503
Zella,502
Cletus,502
Miles,500
Marjory,493
Nolan,493
Deborah,489
Socorro,488
Santos,488
Milford,488
Vada,486
Germaine,486
Rowena,483
Hoyt,482
Doretha,481
Ofelia,478
Elias,476
Emilio,474
Maurine,471
Ulysses,471
Verla,470
Bobbye,469
Althea,468
Millicent,468
Nita,467
Mickey,466
Angel,465
Domingo,464
Marlyn,462
Riley,462
Elmo,461
Gay,460
Belva,460
Julio,460
Hellen,459
Freeman,458
Karen,457
Ardith,456
Denver,456
Thaddeus,456
Arden,454
Edythe,453
Sondra,453
Orval,451
Cruz,450
Houston,450
Anton,449
Augustine,448
Kent,447
Wilhelmina,446
Angelita,445
Madonna,445
Saul,445
Chris,444
Roma,442
Velda,442
Elliott,442
Reta,440
Vilma,438
Bruno,438
Everette,435
Gertie,434
Burl,433
Frederic,432
Ladonna,431
Ignacio,431
Shirlee,430
Isabell,428
Luke,427
Jeanine,426
Maxie,425
Billye,423
Wilton,423
Tillie,421
Adrienne,420
Roderick,417
Royal,417
Carla,416
Carlene,415
Lavon,414
Tomas,412
Marilynn,411
Leora,410
Hallie,409
Margret,408
Delma,408
Elisa,408
Madeleine,407
Francine,405
Daryl,405
Dalton,404
Lue,403
Rubye,403
Dovie,401
Buster,400
Bertram,397
Sophia,396
Spencer,396
Gaylord,396
Myrtis,395
Isabella,395
Enid,393
Carlo,392
Gerry,391
Laurel,391
Arther,390
Felipe,390
Rosalind,389
Minerva,388
Dwayne,388
Hobert,387
Isiah,385
Alden,385
Marcel,385
Elise,384
Augusta,382
Ava,382
Erna,379
Scott,376
Blaine,375
Peggie,374
Georgette,374
Carolina,372
Major,372
Elroy,372
Alphonso,370
Columbus,368
Talmadge,367
Lucinda,366
Marvel,366
Emile,366
Santiago,365
Milo,365
Ouida,363
Charline,363
Jules,361
Merlyn,360
Emerson,360
Olen,359
Vance,359
Elsa,357
Yvette,357
Freida,356
Verda,356
Otha,354
Elida,354
Louisa,353
Olin,353
Ramiro,352
Raquel,351
Kelly,351
Vernice,350
Oleta,348
Elisabeth,347
Benito,347
Rhea,346
Arleen,345
Garnet,345
Arlie,345
Ellsworth,345
Mckinley,344
Rodger,344
Claudie,343
Delois,343
Isaiah,343
Hiram,342
Mozelle,339
Elda,339
Ferdinand,339
Vaughn,338
Hugo,338
Treva,336
Caryl,336
Andres,336
Augustus,333
Omer,332
Monte,331
Phoebe,330
Justine,330
Roselyn,329
Stephanie,329
Adell,328
Dorotha,328
Arlen,328
Guillermo,328
Gregorio,328
Andrea,326
Fletcher,325
Anderson,321
Rogers,321
Alejandro,321
Eduardo,321
Concepcion,320
Celestine,319
Valeria,319
Albertha,318
Clay,318
Aurelia,317
Pattie,316
Jonnie,315
Vida,315
Lura,314
Morgan,313
Ursula,312
Lettie,311
Floy,311
Hoover,311
Micheal,311
Mose,309
Dewitt,309
Trinidad,308
Alvina,308
Reynaldo,308
Emilia,307
Kitty,305
Adela,305
Galen,305
Lacy,304
Vicente,304
Gearldine,301
Christene,301
Jeremiah,301
Rosario,300
Theodora,300
Darleen,300
Raymon,300
Nan,299
Domenic,299
Magdalene,298
Tina,298
Ivory,298
Davis,298
Bradley,298
Marceline,297
Ernestina,297
Alfreda,297
Kevin,297
Shelby,295
Foster,295
Abel,295
Lyman,295
Sebastian,295
Myrtice,294
Kate,294
Harriette,294
Rayford,293
Catalina,289
Berta,288
Lauretta,288
Linnie,286
Wilber,285
Bryan,285
Larue,284
Beatriz,283
Winford,282
Boyce,281
Marianna,280
Artie,279
Carmel,278
Adolfo,278
Georgianna,277
Felton,276
Verne,276
Magdalena,274
Hermon,274
Easter,273
Juliette,272
Evangelina,272
Elvera,272
Antonette,272
Ivy,270
Susanne,270
Ottis,270
Edd,268
Coleman,266
Freddy,265
Garnett,263
Kennith,262
Florene,260
Fanny,259
Santo,259
Veda,257
Alvis,257
Hortencia,257
Haywood,257
Hilton,257
Dottie,256
Una,256
Charmaine,256
Brian,255
Valentine,255
Ona,254
Theda,254
Harmon,254
Rollin,253
Cassie,252
Maryjane,252
Harland,250
Casimir,250
Novella,249
Dianne,249
Sol,249
Estela,248
Georgiana,248
Mazie,247
Rosevelt,247
Orlando,247
Hortense,246
Jayne,246
Ezra,246
Mathew,245
Dewayne,245
Vesta,244
Cleta,244
Dominga,244
Willene,243
Amalia,243
Filomena,241
Aldo,241
Margarette,240
Vergie,240
Herminia,240
Denise,240
Joretta,239
Theo,239
Jefferson,239
Noble,239
Donn,239
Lucien,239
Evan,238
Bernie,237
Newton,237
Ocie,236
Lovie,236
Eloisa,236
Dorla,236
Junius,236
Refugio,234
Lemuel,233
Aloysius,233
Margarett,232
Lona,232
Stanford,232
Clementine,231
Catharine,231
Ismael,230
Domenick,230
Oralia,229
Aurelio,229
Regis,229
Nickolas,227
Magnolia,226
Edsel,226
Ana,225
Margarito,225
Nicolas,225
Donovan,225
Waymon,224
Hans,224
Sherry,223
Doloris,223
Fidel,223
Camilla,222
Leonor,221
Norene,221
Celeste,221
Josefa,221
Reed,221
Mittie,219
Walker,219
Dee,218
Jonathan,218
Joshua,218
Elden,218
Werner,218
Maxwell,217
Theron,217
Leonora,216
Margot,216
Graham,216
Joesph,216
Merton,216
Israel,216
Judson,213
Idella,212
Luz,212
Napoleon,212
Tomasa,211
Rutha,210
Dorcas,210
Zola,209
Alford,209
Elwin,209
Estell,208
Blanch,208
Pamela,208
Meredith,208
Dorsey,208
Sydney,207
Agustin,207
Jerrold,207
Christian,207
Alpha,206
Erlinda,206
Lavina,206
Waldo,206
Romeo,206
Loyce,205
Armida,205
Felicia,205
Dock,205
Craig,205
Carson,205
Benedict,205
Mozell,204
Kyle,204
Haskell,204
Nova,203
Benita,203
Era,202
King,202
Ernie,202
Verlin,202
Earlean,201
Roseann,201
Elease,200
Palmer,199
Elvis,199
Emmitt,198
Lucius,198
Jon,198
Ambrose,198
Jamie,197
Darline,197
Jason,197
Warner,197
Sofia,196
Sherwood,196
Tessie,195
Norine,195
Maryanne,194
Avery,194
Lincoln,194
Humberto,194
Agatha,193
Willodean,192
Ken,192
Eloy,192
Delfina,191
Claudette,189
Concha,189
Amparo,189
Darold,189
Vonda,188
Jacquelin,187
Romaine,187
Sonya,186
Lorenza,186
Loy,186
Rubin,186
Dillard,186
Freeda,185
Adelina,185
Lilia,185
Raleigh,185
Leopoldo,185
Lavada,184
Louvenia,184
Aron,184
Bennett,184
Bulah,183
Corene,182
Katheryn,182
Granville,182
Jan,181
Alvie,181
Nedra,180
Mina,180
Murphy,180
Rubie,179
Vincenza,179
Eleanora,179
Patti,178
Bernardine,178
Milan,178
Hettie,177
Dorene,177
Constantine,177
Kattie,176
Andre,176
Bridget,175
Donal,175
Mayme,174
Joaquin,174
Georgina,173
Gino,173
Gustave,173
Hayward,172
Jordan,172
Matilde,171
Leone,171
Palma,171
Justin,171
Lawanda,169
Velia,169
Albina,169
Laverna,168
Dino,168
Natalia,167
Florian,167
Shelton,166
Natividad,165
Oneal,165
Marcelino,165
Reyes,164
Eldridge,164
Jerold,164
Herlinda,163
Annamae,163
Raphael,163
Carey,162
Melton,162
Aida,161
Marylin,161
Marcos,161
Rosia,160
Toni,160
Clarance,160
Denis,160
Terrence,160
Hyman,160
Cherry,159
Sydell,159
Glynn,158
Porter,158
Elliot,158
Evie,157
Annabell,157
Tressie,156
Romona,156
Arvil,156
Ossie,155
Jeane,155
Neoma,155
Delphia,155
Luverne,154
Lina,154
Belia,154
Carmelita,154
Jesusa,154
Federico,154
Quentin,154
Martina,153
Wynona,153
Early,153
Guido,153
Georgene,152
Ardell,152
Sandy,152
Jorge,152
Denzil,152
Pinkie,151
Zora,151
Rosendo,151
Elna,150
Ezell,150
Lidia,149
Libby,149
Vernie,148
Eulalia,148
Maryellen,148
Dwain,148
Jovita,147
Lucious,147
Earlie,146
Willia,146
Nila,146
Kurt,146
Waneta,145
Rupert,145
Artis,145
Mariano,145
Fredric,145
Arlo,145
Alois,145
Inell,144
Antone,144
Rosina,143
Elisha,143
Porfirio,143
Bradford,143
Dante,143
Robin,142
Eve,142
Bella,141
Mason,141
Raymundo,141
Genaro,141
Adan,141
Luvenia,140
Enoch,140
Auther,140
Obie,140
Hilario,140
Mandy,139
Emmie,139
Crystal,139
Enriqueta,139
Lita,139
Burt,139
Garfield,139
Albin,139
Luisa,138
Daphne,138
Orpha,138
Oren,138
Leonardo,138
Sonny,138
Rogelio,137
Esteban,137
Furman,137
Cathryn,136
Annetta,136
Colette,136
Elayne,136
Vita,136
Walton,136
Taylor,136
Arnulfo,136
Gonzalo,136
Blair,136
Cordelia,135
Hortensia,135
Versie,134
Marilou,134
Bertrand,134
Jettie,133
Nathalie,133
Bryant,133
Williams,133
Abe,133
Jennings,133
Americo,133
Reymundo,132
Estel,132
Audra,131
Alda,131
Felicitas,130
Jill,130
Hardy,130
Finis,130
Dexter,130
Idell,129
Ardeth,129
Santa,129
Gearld,129
Eliseo,129
Prince,128
Elzie,128
Carleton,128
Arvid,127
Garry,127
Jeraldine,126
Mitzi,126
Carmelo,126
Elois,125
Lolita,125
Ardyce,124
Ike,124
Belle,123
Gregoria,123
Rosita,123
Cherie,123
Winnifred,123
Brady,123
Gaetano,123
Cathrine,121
Ceola,121
Clovis,121
Soledad,121
Felipa,121
Twyla,121
Berry,121
Genoveva,120
Virgle,120
Octavia,119
Eldora,119
Christeen,119
Kirby,119
Rudolf,119
Stanton,119
Duwayne,119
Lucretia,118
Bernita,118
Anastasia,118
Adolphus,118
Jere,118
Jeannie,117
Berneice,117
Sydelle,117
Ninfa,117
Kathrine,116
Foy,116
Madie,115
Enedina,115
Lindsey,115
Crawford,115
Luciano,115
Elwyn,115
Lucian,115
Zula,114
Zoe,114
Sudie,114
Buck,114
Florentino,114
Cyrus,114
Verdell,113
Ethelyn,113
Joycelyn,113
Sonja,113
Gustavo,113
Javier,113
Bryce,113
Ellie,112
Myrtie,112
Farrell,112
Jonas,112
Faustino,112
Heyward,112
Nevin,112
Eartha,111
Carter,111
Lennie,110
Odie,110
Venita,110
Lyla,110
Emmit,110
Melvyn,110
Garrett,110
Elmira,109
Maud,109
Velva,109
Wylie,109
Garth,109
Reynold,109
Hobart,109
Alonza,108
Theadore,108
Wardell,108
Terence,108
Voncile,107
Laquita,107
Rosanne,107
Toby,107
Esta,107
Michelina,107
Kee,107
Amado,107
Enrico,107
Ignatius,107
Delton,107
Gaynell,106
Chloe,106
Graciela,106
Elodia,106
Verona,106
Brenda,106
Durwood,106
Eusebio,106
Florencio,106
Jeanie,105
General,105
Issac,105
Murry,105
Zane,105
Sumner,105
Noe,105
Leatha,104
Charleen,104
Maybelle,104
Marva,104
Almeda,104
Johny,104
Bernardo,104
Yoshio,104
Denny,104
Okey,104
Ines,103
Rosanna,103
Corina,103
Norton,103
Isidro,103
Charlsie,102
Nella,102
Susana,102
Laurette,102
Johnsie,102
Domenica,102
Elmore,102
Judge,102
Oran,102
Lucio,102
Moises,102
Sherwin,102
Vester,101
Luetta,101
Santina,101
Glendon,101
Barton,101
Lynwood,101
Birtha,100
Dannie,100
Florida,100
Rafaela,100
Jocelyn,100
Turner,100
Benton,100
Leeroy,100
Franklyn,100
Rochelle,99
Candelaria,99
Annamarie,99
Jaime,99
Dimple,98
Dena,98
Marge,98
Arvilla,98
Howell,98
